Timestamp,What is your age?,What is your gender?,What is your University name?,Your current year of study?,How many cups of caffeine (tea/coffee/energy drinks) do you have daily?,How often do you use electronic devices (phone/laptop) in bed before sleep?,How often do you feel cognitive load?,How often do you feel stressed?,"How would you rate your ""Mental Stamina"" (the ability to think hard for long periods)?","How often do you find yourself ""spacing out"" or losing your train of thought during conversations?","Do you experience ""Audio Lag"" (hearing someone speak but taking a few seconds to understand the meaning)?","On average, how many hours of actual sleep do you get per night?",How often do you wake up in the middle of the night?,How would you rate your overall sleep quality?,How often do you forget basic information in your daily life?,"How much do you rely on ""external reminders"" (alarms, notes, friends) to remember basic daily tasks?","How frequently do you experience ""Brain Fog"" (confusion or lack of clarity)?",How many academic deadlines have you missed or delayed in the last month?,To what extent do you feel sleep deprivation is lowering your GPA?,How often does physical or mental fatigue prevent you from completing your daily goals? ,Do you struggle with making quick decisions or solving logical problems?
2026/03/20 08:37:02 PM GMT+6,26,Male,"Independent University, Bangladesh (IUB)",4th Year,5 or more,Always,Always,Often,3 (Full Energy),Never,No,7â€“8 hours,Never,1 (Very Poor),Rarely,Completely dependent,Always,3â€“4,Moderate impact,Always,Always
2026/03/11 02:45:30 PM GMT+6,25,Female,IUT,Graduated,3â€“4,Rarely,Rarely,Rarely,1 (Total Exhaustion),Always,Yes,Less than 5 hours,Sometimes,4 (Good),Rarely,Completely dependent,Sometimes,5 or more,Severe impact,Rarely,Never
2026/03/09 03:24:20 AM GMT+6,23,Male,University of Rajshahi,2nd Year,3â€“4,Sometimes,Never,Never,3 (Full Energy),Rarely,Maybe,7â€“8 hours,Always,1 (Very Poor),Never,Sometimes,Sometimes,5 or more,Minor impact,Rarely,Never
2026/03/06 05:36:20 AM GMT+6,22,Female,BRAC University,1st Year,5 or more,Sometimes,Rarely,Rarely,2 (Fading Fast),Always,Maybe,More than 8 hours,Sometimes,3 (Average),Never,Not at all,Sometimes,3â€“4,No impact,Rarely,Sometimes
2026/04/09 06:04:29 AM GMT+6,25,Male,Green University,3rd Year,5 or more,Never,Always,Never,3 (Full Energy),Rarely,No,5â€“6 hours,Always,4 (Good),Never,Completely dependent,Always,1â€“2,No impact,Always,Always
2026/04/18 05:58:47 PM GMT+6,24,Male,"Independent University, Bangladesh (IUB)",1st Year,5 or more,Always,Rarely,Often,2 (Fading Fast),Sometimes,No,6â€“7 hours,Never,2 (Poor),Always,Not at all,Never,5 or more,Minor impact,Often,Sometimes
2026/04/06 08:11:40 PM GMT+6,23,Female,AUST,1st Year,5 or more,Sometimes,Rarely,Often,2 (Fading Fast),Rarely,Maybe,More than 8 hours,Never,3 (Average),Sometimes,Not at all,Sometimes,1â€“2,Moderate impact,Rarely,Sometimes
2026/03/01 01:56:48 PM GMT+6,24,Male,Comilla University,2nd Year,5 or more,Always,Sometimes,Never,1 (Total Exhaustion),Always,Yes,Less than 5 hours,Always,1 (Very Poor),Always,Sometimes,Always,3â€“4,Severe impact,Rarely,Always
2026/04/23 05:24:17 PM GMT+6,23,Female,IIUC Chittagong,3rd Year,3â€“4,Never,Always,Always,2 (Fading Fast),Never,Maybe,Less than 5 hours,Sometimes,3 (Average),Always,Not at all,Never,1â€“2,High impact,Always,Always
2026/04/02 06:25:57 AM GMT+6,22,Female,BUP,2nd Year,1â€“2,Always,Rarely,Often,1 (Total Exhaustion),Never,Maybe,Less than 5 hours,Always,3 (Average),Never,Not at all,Sometimes,5 or more,Moderate impact,Always,Never
2026/04/20 04:04:22 AM GMT+6,24,Male,AUST,2nd Year,5 or more,Rarely,Never,Often,2 (Fading Fast),Always,No,7â€“8 hours,Never,5 (Excellent),Always,Sometimes,Always,3â€“4,Minor impact,Often,Never
2026/03/23 02:17:21 AM GMT+6,23,Female,IUT,2nd Year,3â€“4,Sometimes,Sometimes,Often,3 (Full Energy),Rarely,Yes,7â€“8 hours,Sometimes,2 (Poor),Never,Sometimes,Always,5 or more,Severe impact,Sometimes,Always
2026/04/17 03:34:17 AM GMT+6,27,Male,Stamford University,4th Year,3â€“4,Never,Always,Never,1 (Total Exhaustion),Always,Maybe,6â€“7 hours,Sometimes,3 (Average),Always,Sometimes,Never,1â€“2,Moderate impact,Sometimes,Sometimes
2026/03/24 11:02:00 AM GMT+6,23,Female,Begum Rokeya University,2nd Year,1â€“2,Rarely,Sometimes,Rarely,2 (Fading Fast),Never,Yes,Less than 5 hours,Sometimes,1 (Very Poor),Sometimes,Sometimes,Never,3â€“4,High impact,Sometimes,Never
2026/03/18 04:14:22 AM GMT+6,26,Female,East West University,Graduated,3â€“4,Always,Rarely,Always,2 (Fading Fast),Always,Maybe,Less than 5 hours,Sometimes,2 (Poor),Rarely,Not at all,Always,5 or more,No impact,Rarely,Never
2026/03/31 03:35:25 PM GMT+6,22,Female,IUT,2nd Year,3â€“4,Sometimes,Rarely,Always,2 (Fading Fast),Always,No,More than 8 hours,Always,2 (Poor),Never,Completely dependent,Never,5 or more,Moderate impact,Never,Never
2026/04/08 02:27:26 PM GMT+6,24,Female,Comilla University,3rd Year,5 or more,Sometimes,Sometimes,Never,3 (Full Energy),Always,No,5â€“6 hours,Sometimes,3 (Average),Always,Completely dependent,Never,1â€“2,No impact,Rarely,Always
2026/04/21 10:16:00 PM GMT+6,22,Female,University of Dhaka,2nd Year,1â€“2,Never,Rarely,Never,3 (Full Energy),Never,Yes,Less than 5 hours,Sometimes,3 (Average),Rarely,Completely dependent,Never,5 or more,No impact,Never,Sometimes
2026/04/25 09:32:15 AM GMT+6,26,Male,BUET,3rd Year,3â€“4,Sometimes,Always,Often,1 (Total Exhaustion),Sometimes,No,Less than 5 hours,Always,2 (Poor),Sometimes,Completely dependent,Always,5 or more,Moderate impact,Always,Sometimes
2026/04/20 11:13:00 AM GMT+6,27,Male,University of Chittagong,Graduated,1â€“2,Rarely,Always,Sometimes,1 (Total Exhaustion),Sometimes,No,7â€“8 hours,Never,4 (Good),Never,Completely dependent,Never,3â€“4,Moderate impact,Never,Never
2026/03/26 11:57:48 PM GMT+6,26,Female,University of Dhaka,4th Year,5 or more,Never,Always,Never,3 (Full Energy),Never,No,7â€“8 hours,Sometimes,5 (Excellent),Rarely,Sometimes,Always,5 or more,No impact,Rarely,Sometimes
2026/03/30 10:18:02 AM GMT+6,26,Female,University of Asia Pacific (UAP),Graduated,1â€“2,Always,Never,Rarely,2 (Fading Fast),Sometimes,Yes,5â€“6 hours,Never,4 (Good),Never,Completely dependent,Always,5 or more,No impact,Rarely,Sometimes
2026/04/09 08:01:23 PM GMT+6,22,Female,Jagannath University,2nd Year,3â€“4,Sometimes,Rarely,Sometimes,2 (Fading Fast),Rarely,Yes,5â€“6 hours,Never,5 (Excellent),Always,Completely dependent,Always,1â€“2,Severe impact,Always,Never
2026/03/17 01:11:12 AM GMT+6,25,Male,IIUC Chittagong,3rd Year,5 or more,Never,Always,Never,2 (Fading Fast),Sometimes,No,Less than 5 hours,Never,4 (Good),Always,Completely dependent,Never,5 or more,Severe impact,Often,Sometimes
2026/03/25 08:26:12 AM GMT+6,24,Male,Sylhet Agricultural University,2nd Year,3â€“4,Always,Rarely,Always,2 (Fading Fast),Never,Yes,More than 8 hours,Sometimes,1 (Very Poor),Rarely,Not at all,Sometimes,5 or more,No impact,Rarely,Sometimes
2026/03/27 12:58:52 PM GMT+6,26,Male,DIU,Graduated,5 or more,Always,Rarely,Often,3 (Full Energy),Never,Yes,5â€“6 hours,Never,2 (Poor),Never,Sometimes,Never,1â€“2,Severe impact,Never,Always
2026/03/16 12:26:09 AM GMT+6,23,Female,University of Dhaka,1st Year,5 or more,Sometimes,Always,Always,3 (Full Energy),Always,Yes,6â€“7 hours,Sometimes,2 (Poor),Never,Completely dependent,Sometimes,1â€“2,High impact,Often,Sometimes
2026/04/29 04:50:32 AM GMT+6,26,Male,Green University,4th Year,5 or more,Sometimes,Sometimes,Always,1 (Total Exhaustion),Always,No,5â€“6 hours,Never,5 (Excellent),Rarely,Completely dependent,Never,1â€“2,High impact,Rarely,Always
2026/04/19 08:34:43 AM GMT+6,26,Male,Sylhet Agricultural University,3rd Year,3â€“4,Always,Rarely,Sometimes,3 (Full Energy),Sometimes,No,Less than 5 hours,Never,5 (Excellent),Never,Sometimes,Always,1â€“2,No impact,Always,Never
2026/04/05 07:25:39 AM GMT+6,27,Male,Asian University for Women,4th Year,3â€“4,Sometimes,Sometimes,Always,3 (Full Energy),Rarely,No,6â€“7 hours,Always,2 (Poor),Never,Completely dependent,Never,5 or more,Severe impact,Always,Sometimes
2026/04/01 10:34:26 PM GMT+6,25,Male,University of Rajshahi,4th Year,1â€“2,Sometimes,Never,Never,3 (Full Energy),Sometimes,No,Less than 5 hours,Always,5 (Excellent),Sometimes,Not at all,Never,5 or more,Minor impact,Often,Never
2026/04/21 03:47:59 AM GMT+6,26,Female,BUP,3rd Year,3â€“4,Sometimes,Rarely,Rarely,3 (Full Energy),Rarely,Yes,Less than 5 hours,Sometimes,3 (Average),Rarely,Not at all,Always,3â€“4,No impact,Always,Always
2026/03/02 02:03:40 PM GMT+6,23,Male,Stamford University,2nd Year,3â€“4,Never,Always,Rarely,1 (Total Exhaustion),Never,Yes,More than 8 hours,Never,5 (Excellent),Rarely,Not at all,Never,3â€“4,High impact,Never,Never
2026/03/04 09:24:13 PM GMT+6,25,Female,AUST,3rd Year,3â€“4,Always,Never,Never,3 (Full Energy),Never,Maybe,Less than 5 hours,Never,1 (Very Poor),Always,Not at all,Sometimes,3â€“4,Minor impact,Rarely,Never
2026/04/16 02:33:15 AM GMT+6,22,Female,Jahangirnagar University,1st Year,1â€“2,Always,Rarely,Rarely,3 (Full Energy),Sometimes,Yes,More than 8 hours,Never,4 (Good),Rarely,Completely dependent,Always,5 or more,Moderate impact,Sometimes,Never
2026/04/08 01:07:53 PM GMT+6,22,Female,Green University,2nd Year,3â€“4,Sometimes,Always,Rarely,1 (Total Exhaustion),Always,No,Less than 5 hours,Always,1 (Very Poor),Sometimes,Completely dependent,Never,3â€“4,High impact,Never,Sometimes
2026/03/30 01:49:29 PM GMT+6,23,Female,Metropolitan University,2nd Year,1â€“2,Sometimes,Sometimes,Never,1 (Total Exhaustion),Always,Yes,More than 8 hours,Always,5 (Excellent),Rarely,Not at all,Always,5 or more,No impact,Always,Always
2026/04/05 01:32:30 AM GMT+6,21,Male,UIU,1st Year,1â€“2,Rarely,Rarely,Always,1 (Total Exhaustion),Rarely,Maybe,7â€“8 hours,Always,5 (Excellent),Always,Sometimes,Never,5 or more,Severe impact,Never,Never
2026/03/19 05:54:08 AM GMT+6,25,Male,AUST,4th Year,5 or more,Sometimes,Always,Sometimes,3 (Full Energy),Rarely,Yes,5â€“6 hours,Never,3 (Average),Sometimes,Completely dependent,Never,5 or more,Minor impact,Often,Never
2026/03/31 06:46:12 PM GMT+6,25,Male,Jagannath University,1st Year,3â€“4,Rarely,Never,Never,3 (Full Energy),Rarely,Maybe,6â€“7 hours,Sometimes,1 (Very Poor),Sometimes,Completely dependent,Sometimes,1â€“2,Severe impact,Often,Never
2026/04/21 02:21:50 AM GMT+6,23,Female,Jagannath University,1st Year,5 or more,Always,Rarely,Rarely,1 (Total Exhaustion),Always,Yes,6â€“7 hours,Never,5 (Excellent),Rarely,Not at all,Always,3â€“4,No impact,Never,Sometimes
2026/03/21 11:33:00 PM GMT+6,25,Female,Stamford University,3rd Year,5 or more,Always,Never,Sometimes,1 (Total Exhaustion),Always,No,7â€“8 hours,Never,3 (Average),Always,Completely dependent,Always,1â€“2,No impact,Sometimes,Sometimes
2026/04/22 02:44:11 PM GMT+6,22,Female,BUET,1st Year,1â€“2,Never,Sometimes,Always,1 (Total Exhaustion),Rarely,Maybe,More than 8 hours,Never,3 (Average),Sometimes,Completely dependent,Sometimes,1â€“2,Minor impact,Never,Sometimes
2026/03/03 04:37:28 PM GMT+6,26,Female,Sylhet Agricultural University,4th Year,5 or more,Sometimes,Always,Never,3 (Full Energy),Sometimes,Maybe,5â€“6 hours,Sometimes,4 (Good),Always,Not at all,Always,5 or more,Minor impact,Sometimes,Never
2026/04/09 08:34:49 AM GMT+6,27,Male,UIU,Graduated,1â€“2,Never,Sometimes,Never,1 (Total Exhaustion),Always,Maybe,5â€“6 hours,Always,3 (Average),Always,Completely dependent,Never,5 or more,No impact,Sometimes,Always
2026/04/29 12:40:07 PM GMT+6,22,Female,IIUC Chittagong,2nd Year,3â€“4,Sometimes,Sometimes,Always,2 (Fading Fast),Never,No,Less than 5 hours,Sometimes,5 (Excellent),Rarely,Completely dependent,Always,1â€“2,Minor impact,Never,Sometimes
2026/03/30 09:13:12 AM GMT+6,26,Female,IUT,Graduated,3â€“4,Never,Never,Always,1 (Total Exhaustion),Never,Yes,7â€“8 hours,Always,4 (Good),Sometimes,Not at all,Never,5 or more,Moderate impact,Often,Always
2026/04/27 08:02:21 AM GMT+6,22,Female,BUET,1st Year,5 or more,Rarely,Sometimes,Never,1 (Total Exhaustion),Always,Yes,Less than 5 hours,Always,5 (Excellent),Never,Not at all,Sometimes,1â€“2,High impact,Always,Always
2026/03/10 07:18:32 AM GMT+6,28,Male,Begum Rokeya University,Graduated,5 or more,Rarely,Rarely,Rarely,1 (Total Exhaustion),Never,No,More than 8 hours,Always,5 (Excellent),Always,Not at all,Never,3â€“4,Moderate impact,Sometimes,Always
2026/03/07 01:45:44 AM GMT+6,23,Female,Green University,1st Year,3â€“4,Never,Always,Rarely,1 (Total Exhaustion),Never,Maybe,Less than 5 hours,Never,1 (Very Poor),Never,Sometimes,Sometimes,1â€“2,Minor impact,Sometimes,Always
2026/03/13 07:09:28 AM GMT+6,24,Female,North South University (NSU),3rd Year,5 or more,Always,Never,Always,1 (Total Exhaustion),Always,Yes,5â€“6 hours,Sometimes,2 (Poor),Never,Sometimes,Sometimes,3â€“4,Minor impact,Sometimes,Sometimes
2026/04/17 01:15:50 AM GMT+6,24,Female,DIU,3rd Year,3â€“4,Rarely,Always,Sometimes,2 (Fading Fast),Sometimes,No,6â€“7 hours,Always,2 (Poor),Never,Sometimes,Always,1â€“2,High impact,Never,Never
2026/04/01 06:37:30 AM GMT+6,22,Female,North South University (NSU),3rd Year,1â€“2,Rarely,Sometimes,Never,3 (Full Energy),Sometimes,Yes,6â€“7 hours,Sometimes,5 (Excellent),Rarely,Completely dependent,Never,1â€“2,No impact,Sometimes,Sometimes
2026/03/23 12:50:57 PM GMT+6,26,Female,SUST,4th Year,5 or more,Never,Sometimes,Rarely,1 (Total Exhaustion),Always,Yes,Less than 5 hours,Never,4 (Good),Never,Sometimes,Never,5 or more,Severe impact,Always,Sometimes
2026/04/21 09:19:42 PM GMT+6,25,Female,Noakhali STU,4th Year,3â€“4,Always,Always,Never,2 (Fading Fast),Always,No,5â€“6 hours,Never,1 (Very Poor),Rarely,Completely dependent,Never,1â€“2,Moderate impact,Sometimes,Sometimes
2026/04/06 01:33:03 PM GMT+6,24,Female,East West University,3rd Year,3â€“4,Always,Sometimes,Rarely,3 (Full Energy),Rarely,Yes,Less than 5 hours,Always,3 (Average),Always,Completely dependent,Sometimes,5 or more,High impact,Rarely,Always
2026/04/18 07:05:36 AM GMT+6,28,Male,Noakhali STU,Graduated,1â€“2,Never,Rarely,Often,2 (Fading Fast),Sometimes,No,More than 8 hours,Never,4 (Good),Never,Sometimes,Always,3â€“4,Minor impact,Sometimes,Sometimes
2026/03/19 07:36:32 PM GMT+6,26,Male,Jagannath University,4th Year,1â€“2,Sometimes,Rarely,Rarely,2 (Fading Fast),Rarely,No,7â€“8 hours,Sometimes,3 (Average),Always,Not at all,Sometimes,1â€“2,No impact,Sometimes,Sometimes
2026/03/28 03:28:42 AM GMT+6,24,Female,BUET,2nd Year,5 or more,Rarely,Never,Often,1 (Total Exhaustion),Sometimes,Yes,More than 8 hours,Never,4 (Good),Always,Not at all,Always,3â€“4,Moderate impact,Always,Sometimes
2026/04/24 09:31:33 PM GMT+6,23,Male,BRAC University,1st Year,3â€“4,Sometimes,Always,Always,3 (Full Energy),Rarely,Yes,5â€“6 hours,Sometimes,4 (Good),Never,Sometimes,Always,5 or more,Moderate impact,Always,Never
2026/04/18 10:54:51 AM GMT+6,26,Male,SUST,4th Year,1â€“2,Rarely,Never,Always,2 (Fading Fast),Sometimes,Yes,7â€“8 hours,Sometimes,1 (Very Poor),Never,Not at all,Never,5 or more,High impact,Rarely,Sometimes
2026/03/17 08:48:24 PM GMT+6,27,Male,Jahangirnagar University,Graduated,3â€“4,Rarely,Sometimes,Rarely,2 (Fading Fast),Never,Yes,7â€“8 hours,Never,4 (Good),Always,Sometimes,Sometimes,5 or more,Moderate impact,Always,Never
2026/03/17 08:41:37 AM GMT+6,22,Male,University of Chittagong,1st Year,1â€“2,Never,Never,Never,1 (Total Exhaustion),Always,Maybe,Less than 5 hours,Sometimes,1 (Very Poor),Always,Completely dependent,Never,5 or more,No impact,Always,Always
2026/03/27 11:55:07 PM GMT+6,25,Male,University of Dhaka,3rd Year,1â€“2,Always,Rarely,Often,1 (Total Exhaustion),Rarely,Maybe,More than 8 hours,Sometimes,1 (Very Poor),Never,Sometimes,Never,3â€“4,Severe impact,Often,Never
2026/03/05 06:19:44 AM GMT+6,23,Female,Begum Rokeya University,4th Year,5 or more,Never,Rarely,Often,3 (Full Energy),Always,Yes,7â€“8 hours,Never,3 (Average),Sometimes,Sometimes,Sometimes,5 or more,No impact,Sometimes,Never
2026/03/08 03:08:18 PM GMT+6,23,Female,IUT,2nd Year,3â€“4,Sometimes,Always,Never,3 (Full Energy),Always,No,5â€“6 hours,Sometimes,3 (Average),Always,Completely dependent,Always,1â€“2,Severe impact,Sometimes,Sometimes
2026/03/13 01:10:54 PM GMT+6,25,Female,"Independent University, Bangladesh (IUB)",4th Year,1â€“2,Always,Never,Often,1 (Total Exhaustion),Sometimes,Yes,5â€“6 hours,Sometimes,5 (Excellent),Rarely,Sometimes,Always,5 or more,No impact,Never,Always
2026/03/17 01:40:08 PM GMT+6,22,Female,AIUB,1st Year,1â€“2,Sometimes,Always,Always,3 (Full Energy),Rarely,No,More than 8 hours,Always,5 (Excellent),Rarely,Completely dependent,Sometimes,1â€“2,Minor impact,Never,Never
2026/04/26 09:13:20 AM GMT+6,24,Female,Comilla University,4th Year,3â€“4,Never,Never,Never,3 (Full Energy),Rarely,Yes,7â€“8 hours,Never,5 (Excellent),Rarely,Completely dependent,Always,1â€“2,Moderate impact,Rarely,Sometimes
2026/04/06 07:19:18 PM GMT+6,22,Male,Asian University for Women,1st Year,3â€“4,Always,Never,Often,3 (Full Energy),Rarely,Yes,7â€“8 hours,Always,2 (Poor),Never,Not at all,Never,5 or more,Severe impact,Always,Always
2026/04/14 11:04:27 PM GMT+6,23,Female,Metropolitan University,4th Year,3â€“4,Always,Sometimes,Sometimes,3 (Full Energy),Rarely,Maybe,Less than 5 hours,Never,5 (Excellent),Rarely,Completely dependent,Always,1â€“2,No impact,Always,Never
2026/03/07 06:34:39 AM GMT+6,26,Female,University of Dhaka,4th Year,1â€“2,Sometimes,Rarely,Always,1 (Total Exhaustion),Always,No,5â€“6 hours,Always,5 (Excellent),Sometimes,Completely dependent,Always,5 or more,High impact,Often,Sometimes
2026/04/01 08:14:30 PM GMT+6,28,Female,UIU,4th Year,1â€“2,Sometimes,Sometimes,Often,1 (Total Exhaustion),Sometimes,No,Less than 5 hours,Never,2 (Poor),Never,Completely dependent,Sometimes,5 or more,No impact,Sometimes,Always
2026/04/26 06:11:33 PM GMT+6,26,Female,IIUC Chittagong,4th Year,5 or more,Never,Never,Rarely,3 (Full Energy),Sometimes,Yes,6â€“7 hours,Sometimes,1 (Very Poor),Rarely,Not at all,Sometimes,5 or more,Moderate impact,Sometimes,Never
2026/04/30 10:37:58 PM GMT+6,23,Male,University of Asia Pacific (UAP),2nd Year,1â€“2,Always,Always,Sometimes,3 (Full Energy),Sometimes,Maybe,6â€“7 hours,Never,1 (Very Poor),Rarely,Completely dependent,Sometimes,3â€“4,No impact,Rarely,Never
2026/04/29 02:27:45 AM GMT+6,22,Male,Green University,1st Year,5 or more,Never,Rarely,Never,2 (Fading Fast),Always,Yes,More than 8 hours,Always,4 (Good),Rarely,Completely dependent,Always,5 or more,Minor impact,Often,Sometimes
2026/04/12 11:28:25 PM GMT+6,22,Female,Khulna University,1st Year,3â€“4,Never,Sometimes,Rarely,2 (Fading Fast),Always,No,6â€“7 hours,Sometimes,2 (Poor),Sometimes,Sometimes,Never,3â€“4,Moderate impact,Sometimes,Always
2026/03/31 05:27:53 AM GMT+6,23,Female,University of Chittagong,2nd Year,3â€“4,Rarely,Sometimes,Never,3 (Full Energy),Sometimes,Maybe,Less than 5 hours,Never,3 (Average),Sometimes,Sometimes,Sometimes,5 or more,High impact,Sometimes,Never
2026/03/28 07:02:10 PM GMT+6,22,Male,University of Asia Pacific (UAP),1st Year,3â€“4,Always,Never,Always,3 (Full Energy),Sometimes,No,6â€“7 hours,Sometimes,3 (Average),Sometimes,Not at all,Always,3â€“4,Minor impact,Never,Always
2026/03/03 04:00:27 AM GMT+6,27,Male,University of Dhaka,4th Year,1â€“2,Never,Always,Often,3 (Full Energy),Never,Yes,5â€“6 hours,Sometimes,3 (Average),Never,Completely dependent,Sometimes,3â€“4,Moderate impact,Sometimes,Never
2026/03/05 04:12:30 PM GMT+6,23,Male,AIUB,1st Year,5 or more,Sometimes,Always,Always,2 (Fading Fast),Never,Maybe,6â€“7 hours,Never,3 (Average),Sometimes,Completely dependent,Never,1â€“2,No impact,Never,Sometimes
2026/04/17 05:17:00 PM GMT+6,20,Male,Metropolitan University,1st Year,5 or more,Always,Sometimes,Always,2 (Fading Fast),Always,No,Less than 5 hours,Sometimes,2 (Poor),Always,Sometimes,Sometimes,5 or more,Minor impact,Rarely,Never
2026/04/29 07:00:45 AM GMT+6,22,Female,MIST,1st Year,5 or more,Sometimes,Sometimes,Sometimes,2 (Fading Fast),Rarely,Yes,Less than 5 hours,Always,1 (Very Poor),Sometimes,Not at all,Never,3â€“4,Minor impact,Always,Always
2026/03/12 09:03:07 PM GMT+6,26,Female,"Independent University, Bangladesh (IUB)",4th Year,5 or more,Never,Sometimes,Always,2 (Fading Fast),Never,Yes,6â€“7 hours,Always,4 (Good),Sometimes,Sometimes,Sometimes,5 or more,Minor impact,Never,Always
2026/03/17 05:00:58 AM GMT+6,24,Female,University of Rajshahi,1st Year,1â€“2,Always,Sometimes,Always,3 (Full Energy),Sometimes,No,7â€“8 hours,Sometimes,2 (Poor),Always,Sometimes,Always,1â€“2,High impact,Rarely,Always
2026/04/13 06:36:09 AM GMT+6,21,Female,Noakhali STU,1st Year,3â€“4,Sometimes,Rarely,Sometimes,1 (Total Exhaustion),Rarely,Maybe,7â€“8 hours,Sometimes,4 (Good),Always,Completely dependent,Never,5 or more,Severe impact,Never,Always
2026/03/28 06:13:35 AM GMT+6,27,Female,SUST,Graduated,3â€“4,Rarely,Never,Often,1 (Total Exhaustion),Always,No,5â€“6 hours,Sometimes,3 (Average),Rarely,Not at all,Always,3â€“4,Severe impact,Rarely,Never
2026/04/07 01:08:31 AM GMT+6,25,Female,Asian University for Women,4th Year,5 or more,Rarely,Rarely,Always,2 (Fading Fast),Rarely,Maybe,5â€“6 hours,Never,5 (Excellent),Sometimes,Completely dependent,Sometimes,1â€“2,No impact,Sometimes,Always
2026/04/19 04:57:50 PM GMT+6,24,Female,MIST,4th Year,3â€“4,Rarely,Rarely,Rarely,3 (Full Energy),Sometimes,Yes,5â€“6 hours,Sometimes,5 (Excellent),Rarely,Sometimes,Always,5 or more,No impact,Always,Sometimes
2026/03/18 05:12:46 AM GMT+6,26,Male,East West University,Graduated,1â€“2,Sometimes,Always,Never,2 (Fading Fast),Never,No,Less than 5 hours,Sometimes,5 (Excellent),Always,Sometimes,Sometimes,3â€“4,Moderate impact,Never,Never
2026/04/04 06:41:12 AM GMT+6,24,Male,University of Asia Pacific (UAP),1st Year,3â€“4,Never,Never,Never,3 (Full Energy),Sometimes,Yes,Less than 5 hours,Never,3 (Average),Always,Completely dependent,Always,1â€“2,Severe impact,Always,Always
